DATE,CPILFESL
2020-01-01,266.698
2020-02-01,267.402
2020-03-01,267.068
2020-04-01,265.796
2020-05-01,265.461
2020-06-01,265.839
2020-07-01,267.373
2020-08-01,268.390
2020-09-01,268.900
2020-10-01,269.280
2020-11-01,269.967
2020-12-01,270.340
2021-01-01,270.422
2021-02-01,270.813
2021-03-01,271.461
2021-04-01,273.665
2021-05-01,275.494
2021-06-01,277.585
2021-07-01,278.612
2021-08-01,278.993
2021-09-01,279.710
2021-10-01,281.623
2021-11-01,283.393
2021-12-01,285.221
2022-01-01,286.811
2022-02-01,288.287
2022-03-01,289.041
2022-04-01,290.515
2022-05-01,292.072
2022-06-01,293.972
2022-07-01,295.055
2022-08-01,296.569
2022-09-01,298.284
2022-10-01,299.351
2022-11-01,300.292
2022-12-01,301.423
2023-01-01,302.709
2023-02-01,304.124
2023-03-01,305.112
2023-04-01,306.539
2023-05-01,307.646
2023-06-01,308.245
2023-07-01,308.945
2023-08-01,309.656
2023-09-01,310.644
2023-10-01,311.390
2023-11-01,312.349
2023-12-01,313.209
2024-01-01,314.438
2024-02-01,315.565
2024-03-01,316.698
2024-04-01,317.622
2024-05-01,318.140
2024-06-01,318.346
2024-07-01,318.872
2024-08-01,319.768
2024-09-01,320.767
2024-10-01,321.666
